id,ts,actor,action,detail
28,2026-04-16T12:30:01,user,Allocazione,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W18
27,2026-04-16T12:30:01,system,Allocazione creata,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W18
26,2026-04-16T12:30:01,user,Allocazione,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W18
25,2026-04-16T12:30:01,system,Allocazione creata,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W18
24,2026-04-16T12:30:01,user,Allocazione,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W18
23,2026-04-16T12:30:01,system,Allocazione creata,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W18
22,2026-04-16T12:30:01,user,Allocazione,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W16-W18
21,2026-04-16T12:30:01,system,Allocazione creata,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W16-W18
20,2026-04-16T12:30:01,user,Allocazione,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W18
19,2026-04-16T12:30:01,system,Allocazione creata,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W18
18,2026-04-16T12:29:28,user,Allocazione,GENERICO-EXT 6 -> 420-26 (SITE) | GENERICO | W16-W22
17,2026-04-16T12:29:28,user,Allocazione,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W22
16,2026-04-16T12:29:28,system,Allocazione creata,GENERICO-EXT 6 -> 420-26 (SITE) | GENERICO | W16-W22
15,2026-04-16T12:29:28,system,Allocazione creata,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W22
14,2026-04-16T12:29:28,user,Allocazione,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W22
13,2026-04-16T12:29:28,user,Allocazione,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W16-W22
12,2026-04-16T12:29:28,system,Allocazione creata,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W22
11,2026-04-16T12:29:28,user,Allocazione,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W22
10,2026-04-16T12:29:28,system,Allocazione creata,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W22
9,2026-04-16T12:29:28,system,Allocazione creata,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W16-W22
8,2026-04-16T12:29:28,user,Allocazione,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W22
7,2026-04-16T12:29:28,system,Allocazione creata,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W22
6,2026-04-16T11:45:24,system,Allocazione creata,CARPENTIERE-EXT 2 -> 420-26 (SITE) | CARPENTIERE | W16-W22
5,2026-04-16T11:45:24,system,Allocazione creata,CARPENTIERE-EXT -> 420-26 (SITE) | CARPENTIERE | W16-W22
4,2026-04-14T17:19:54,user,Svincolo,KANDE KARIM | W18-W18
3,2026-04-14T17:19:54,system,Allocazione svincolata,Risorsa 891 | W18-W18 | rimosse 1 allocazioni
2,2026-04-14T17:19:26,user,Allocazione,KANDE KARIM -> OVERALL OFFICINA | MANDRINATORE | W18-W18
1,2026-04-14T17:19:26,system,Allocazione creata,KANDE KARIM -> OVERALL OFFICINA | MANDRINATORE | W18-W18
